5.1.6 服务器状态变量参考_MySQL 8.0 参考手册 Skip to Main Content
Documentation Home
Com_show_create_proc 整数 两个都
Com_show_create_table 整数 两个都
Com_show_create_trigger 整数 两个都
Com_show_create_user 整数 两个都
Com_show_databases 整数 两个都
Com_show_engine_logs 整数 两个都
Com_show_engine_mutex 整数 两个都
Com_show_engine_status 整数 两个都
Com_show_errors 整数 两个都
Com_show_events 整数 两个都
Com_show_fields 整数 两个都
Com_show_function_code 整数 两个都
Com_show_function_status 整数 两个都
Com_show_grants 整数 两个都
Com_show_keys 整数 两个都
Com_show_master_status 整数 两个都
Com_show_ndb_status 整数 两个都
Com_show_open_tables 整数 两个都
Com_show_plugins 整数 两个都
Com_show_privileges 整数 两个都
Com_show_procedure_code 整数 两个都
Com_show_procedure_status 整数 两个都
Com_show_processlist 整数 两个都
Com_show_profile 整数 两个都
Com_show_profiles 整数 两个都
Com_show_relaylog_events 整数 两个都
Com_show_replica_status 整数 两个都
Com_show_replicas 整数 两个都
Com_show_slave_hosts 整数 两个都
Com_show_slave_status 整数 两个都
Com_show_status 整数 两个都
Com_show_storage_engines 整数 两个都
Com_show_table_status 整数 两个都
Com_show_tables 整数 两个都
Com_show_triggers 整数 两个都
Com_show_variables 整数 两个都
Com_show_warnings 整数 两个都
Com_shutdown 整数 两个都
通讯信号 整数 两个都
Com_slave_start 整数 两个都
Com_slave_stop 整数 两个都
Com_stmt_close 整数 两个都
Com_stmt_execute 整数 两个都
com_stmt_fetch 整数 两个都
Com_stmt_prepare 整数 两个都
Com_stmt_reprepare 整数 两个都
Com_stmt_reset 整数 两个都
Com_stmt_send_long_data 整数 两个都
Com_truncate 整数 两个都
Com_uninstall_component 整数 全球的
Com_uninstall_plugin 整数 两个都
Com_unlock_tables 整数 两个都
Com_update 整数 两个都
Com_update_multi 整数 两个都
Com_xa_commit 整数 两个都
Com_xa_end 整数 两个都
Com_xa_prepare 整数 两个都
Com_xa_recover 整数 两个都
Com_xa_rollback 整数 两个都
Com_xa_start 整数 两个都
压缩 整数 会议
压缩算法 细绳 全球的
压缩级别 整数 全球的
Connection_control_delay_generated 整数 全球的
连接错误接受 整数 全球的
Connection_errors_internal 整数 全球的
Connection_errors_max_connections 连接错误 整数 全球的
Connection_errors_peer_address 整数 全球的
连接错误选择 整数 全球的
Connection_errors_tcpwrap 整数 全球的
连接 整数 全球的
Created_tmp_disk_tables 整数 两个都
创建的_tmp_文件 整数 全球的
Created_tmp_tables 整数 两个都
当前_tls_ca 文件名 全球的
Current_tls_capath 目录名称 全球的
当前_tls_cert 文件名 全球的
当前_tls_cipher 细绳 全球的
Current_tls_ciphersuites 细绳 全球的
当前_tls_crl 文件名 全球的
Current_tls_crlpath 目录名称 全球的
当前_tls_key 文件名 全球的
当前_tls_version 细绳 全球的
延迟错误 整数 全球的
延迟插入线程 整数 全球的
延迟写入 整数 全球的
天罗地网.状态 细绳 全球的
Error_log_buffered_bytes 整数 全球的
错误日志缓冲事件 整数 全球的
Error_log_expired_events 整数 全球的
Error_log_latest_write 整数 全球的
Firewall_access_denied 整数 全球的
Firewall_access_granted 整数 全球的
Firewall_cached_entries 整数 全球的
冲洗命令 整数 全球的
全局连接内存 整数 全球的
group_replication_primary_member 细绳 全球的
处理程序提交 整数 两个都
处理程序_删除 整数 两个都
处理程序_发现 整数 两个都
Handler_external_lock 整数 两个都
Handler_mrr_init 整数 两个都
处理程序_准备 整数 两个都
Handler_read_first 整数 两个都
Handler_read_key 整数 两个都
Handler_read_last 整数 两个都
Handler_read_next 整数 两个都
Handler_read_prev 整数 两个都
Handler_read_rnd 整数 两个都
Handler_read_rnd_next 整数 两个都
处理程序_回滚 整数 两个都
处理程序_保存点 整数 两个都
Handler_savepoint_rollback 整数 两个都
处理程序更新 整数 两个都
处理程序_write 整数 两个都
Innodb_buffer_pool_bytes_data 整数 全球的
Innodb_buffer_pool_bytes_dirty 整数 全球的
Innodb_buffer_pool_dump_status 细绳 全球的
Innodb_buffer_pool_load_status 细绳 全球的
Innodb_buffer_pool_pages_data 整数 全球的
Innodb_buffer_pool_pages_dirty 整数 全球的
Innodb_buffer_pool_pages_flushed 整数 全球的
Innodb_buffer_pool_pages_free 整数 全球的
Innodb_buffer_pool_pages_latched 整数 全球的
Innodb_buffer_pool_pages_misc 整数 全球的
Innodb_buffer_pool_pages_total 整数 全球的
Innodb_buffer_pool_read_ahead 整数 全球的
Innodb_buffer_pool_read_ahead_evicted 整数 全球的
Innodb_buffer_pool_read_ahead_rnd 整数 全球的
Innodb_buffer_pool_read_requests 整数 全球的
Innodb_buffer_pool_reads 整数 全球的
Innodb_buffer_pool_resize_status 细绳 全球的
Innodb_buffer_pool_resize_status_code 整数 全球的
Innodb_buffer_pool_resize_status_progress 整数 全球的
Innodb_buffer_pool_wait_free 整数 全球的
Innodb_buffer_pool_write_requests 整数 全球的
Innodb_data_fsyncs 整数 全球的
Innodb_data_pending_fsyncs 整数 全球的
Innodb_data_pending_reads 整数 全球的
Innodb_data_pending_writes 整数 全球的
Innodb_data_read 整数 全球的
Innodb_data_reads 整数 全球的
Innodb_data_writes 整数 全球的
Innodb_data_written 整数 全球的
Innodb_dblwr_pages_written 整数 全球的
Innodb_dblwr_writes 整数 全球的
Innodb_have_atomic_builtins 整数 全球的
Innodb_log_waits 整数 全球的
Innodb_log_write_requests 整数 全球的
Innodb_log_writes 整数 全球的
Innodb_num_open_files 整数 全球的
Innodb_os_log_fsyncs 整数 全球的
Innodb_os_log_pending_fsyncs 整数 全球的
Innodb_os_log_pending_writes 整数 全球的
Innodb_os_log_written 整数 全球的
Innodb_page_size 整数 全球的
Innodb_pages_created 整数 全球的
Innodb_pages_read 整数 全球的
Innodb_pages_written 整数 全球的
Innodb_redo_log_capacity_resized 整数 全球的
Innodb_redo_log_checkpoint_lsn 整数 全球的
Innodb_redo_log_current_lsn 整数 全球的
Innodb_redo_log_enabled 布尔值 全球的
Innodb_redo_log_flushed_to_disk_lsn 整数 全球的
Innodb_redo_log_logical_size 整数 全球的
Innodb_redo_log_physical_size 布尔值 全球的
Innodb_redo_log_read_only 布尔值 全球的
Innodb_redo_log_resize_status 细绳 全球的
Innodb_redo_log_uuid 整数 全球的
Innodb_row_lock_current_waits 整数 全球的
Innodb_row_lock_time 整数 全球的
Innodb_row_lock_time_avg 整数 全球的
Innodb_row_lock_time_max 整数 全球的
Innodb_row_lock_waits 整数 全球的
Innodb_rows_deleted 整数 全球的
Innodb_rows_inserted 整数 全球的
Innodb_rows_read 整数 全球的
Innodb_rows_updated 整数 全球的
Innodb_system_rows_deleted 整数 全球的
Innodb_system_rows_inserted 整数 全球的
Innodb_system_rows_read 整数 全球的
Innodb_truncated_status_writes 整数 全球的
Innodb_undo_tablespaces_active 整数 全球的
Innodb_undo_tablespaces_explicit 整数 全球的
Innodb_undo_tablespaces_implicit 整数 全球的
Innodb_undo_tablespaces_total 整数 全球的
Key_blocks_not_flushed 整数 全球的
Key_blocks_unused 整数 全球的
Key_blocks_used 整数 全球的
Key_read_requests 整数 全球的
重点阅读 整数 全球的
Key_write_requests 整数 全球的
Key_writes 整数 全球的
Last_query_cost 数字 会议
Last_query_partial_plans 整数 会议
锁定连接 整数 全球的
Max_execution_time_exceeded 整数 两个都
Max_execution_time_set 整数 两个都
Max_execution_time_set_failed 整数 两个都
最大使用连接数 整数 全球的
Max_used_connections_time 约会时间 全球的
mecab_charset 细绳 全球的
Mysqlx_aborted_clients 整数 全球的
Mysqlx_address 细绳 全球的
Mysqlx_bytes_received 整数 两个都
Mysqlx_bytes_received_compressed_pa​​yload 整数 两个都
Mysqlx_bytes_received_uncompressed_frame 整数 两个都
Mysqlx_bytes_sent 整数 两个都
Mysqlx_bytes_sent_compressed_pa​​yload 整数 两个都
Mysqlx_bytes_sent_uncompressed_frame 整数 两个都
Mysqlx_compression_algorithm 细绳 会议
Mysqlx_compression_level 细绳 会议
Mysqlx_connection_accept_errors 整数 两个都
Mysqlx_connection_errors 整数 两个都
Mysqlx_connections_accepted 整数 全球的
Mysqlx_connections_closed 整数 全球的
Mysqlx_connections_rejected 整数 全球的
Mysqlx_crud_create_view 整数 两个都
Mysqlx_crud_delete 整数 两个都
Mysqlx_crud_drop_view 整数 两个都
Mysqlx_crud_find 整数 两个都
Mysqlx_crud_insert 整数 两个都
Mysqlx_crud_modify_view 整数 两个都
Mysqlx_crud_update 整数 两个都
Mysqlx_cursor_close 整数 两个都
Mysqlx_cursor_fetch 整数 两个都
Mysqlx_cursor_open 整数 两个都
Mysqlx_errors_sent 整数 两个都
Mysqlx_errors_unknown_message_type 整数 两个都
Mysqlx_expect_close 整数 两个都
Mysqlx_expect_open 整数 两个都
Mysqlx_init_error 整数 两个都
Mysqlx_messages_sent 整数 两个都
Mysqlx_notice_global_sent 整数 两个都
Mysqlx_notice_other_sent 整数 两个都
Mysqlx_notice_warning_sent 整数 两个都
Mysqlx_notified_by_group_replication 整数 两个都
Mysqlx_port 细绳 全球的
Mysqlx_prep_deallocate 整数 两个都
Mysqlx_prep_execute 整数 两个都
Mysqlx_prep_prepare 整数 两个都
Mysqlx_rows_sent 整数 两个都
Mysqlx_session 整数 全球的
Mysqlx_sessions_accepted 整数 全球的
Mysqlx_sessions_closed 整数 全球的
Mysqlx_sessions_fatal_error 整数 全球的
Mysqlx_sessions_killed 整数 全球的
Mysqlx_sessions_rejected 整数 全球的
mysqlx_socket 细绳 全球的
Mysqlx_ssl_accept_renegotiates 整数 全球的
Mysqlx_ssl_accepts 整数 全球的
Mysqlx_ssl_active 整数 两个都
Mysqlx_ssl_cipher 整数 两个都
Mysqlx_ssl_cipher_list 整数 两个都
mysqlx_ssl_ctx_verify_depth 整数 两个都
mysqlx_ssl_ctx_verify_mode 整数 两个都
Mysqlx_ssl_finished_accepts 整数 全球的
Mysqlx_ssl_server_not_after 整数 全球的
Mysqlx_ssl_server_not_before 整数 全球的
Mysqlx_ssl_verify_depth 整数 全球的
Mysqlx_ssl_verify_mode 整数 全球的
Mysqlx_ssl_version 整数 两个都
Mysqlx_stmt_create_collection 整数 两个都
Mysqlx_stmt_create_collection_index 整数 两个都
Mysqlx_stmt_disable_notices 整数 两个都
Mysqlx_stmt_drop_collection 整数 两个都
Mysqlx_stmt_drop_collection_index 整数 两个都
Mysqlx_stmt_enable_notices 整数 两个都
Mysqlx_stmt_ensure_collection 细绳 两个都
mysqlx_stmt_execute_mysqlx 整数 两个都
mysqlx_stmt_execute_sql 整数 两个都
Mysqlx_stmt_execute_xplugin 整数 两个都
Mysqlx_stmt_get_collection_options 整数 两个都
Mysqlx_stmt_kill_client 整数 两个都
Mysqlx_stmt_list_clients 整数 两个都
Mysqlx_stmt_list_notices 整数 两个都
Mysqlx_stmt_list_objects 整数 两个都
Mysqlx_stmt_modify_collection_options 整数 两个都
Mysqlx_stmt_ping 整数 两个都
Mysqlx_worker_threads 整数 全球的
Mysqlx_worker_threads_active 整数 全球的
Ndb_api_adaptive_send_deferred_count 整数 全球的
Ndb_api_adaptive_send_deferred_count_replica 整数 全球的
Ndb_api_adaptive_send_deferred_count_session 整数 全球的
Ndb_api_adaptive_send_deferred_count_slave 整数 全球的
Ndb_api_adaptive_send_forced_count 整数 全球的
Ndb_api_adaptive_send_forced_count_replica 整数 全球的
Ndb_api_adaptive_send_forced_count_session 整数 全球的
Ndb_api_adaptive_send_forced_count_slave 整数 全球的
Ndb_api_adaptive_send_unforced_count 整数 全球的
Ndb_api_adaptive_send_unforced_count_replica 整数 全球的
Ndb_api_adaptive_send_unforced_count_session 整数 全球的
Ndb_api_adaptive_send_unforced_count_slave 整数 全球的
Ndb_api_bytes_received_count 整数 全球的
Ndb_api_bytes_received_count_replica 整数 全球的
Ndb_api_bytes_received_count_session 整数 会议
Ndb_api_bytes_received_count_slave 整数 全球的
Ndb_api_bytes_sent_count 整数 全球的
Ndb_api_bytes_sent_count_replica 整数 全球的
Ndb_api_bytes_sent_count_session 整数 会议
Ndb_api_bytes_sent_count_slave 整数 全球的
Ndb_api_event_bytes_count 整数 全球的
Ndb_api_event_bytes_count_injector 整数 全球的
Ndb_api_event_data_count 整数 全球的
Ndb_api_event_data_count_injector 整数 全球的
Ndb_api_event_nondata_count 整数 全球的
Ndb_api_event_nondata_count_injector 整数 全球的
Ndb_api_pk_op_count 整数 全球的
Ndb_api_pk_op_count_replica 整数 全球的
Ndb_api_pk_op_count_session 整数 会议
Ndb_api_pk_op_count_slave 整数 全球的
Ndb_api_pruned_scan_count 整数 全球的
Ndb_api_pruned_scan_count_replica 整数 全球的
Ndb_api_pruned_scan_count_session 整数 会议
Ndb_api_pruned_scan_count_slave 整数 全球的
Ndb_api_range_scan_count 整数 全球的
Ndb_api_range_scan_count_replica 整数 全球的
Ndb_api_range_scan_count_session 整数 会议
Ndb_api_range_scan_count_slave 整数 全球的
Ndb_api_read_row_count 整数 全球的
Ndb_api_read_row_count_replica 整数 全球的
Ndb_api_read_row_count_session 整数 会议
Ndb_api_read_row_count_slave 整数 全球的
Ndb_api_scan_batch_count 整数 全球的
Ndb_api_scan_batch_count_replica 整数 全球的
Ndb_api_scan_batch_count_session 整数 会议
Ndb_api_scan_batch_count_slave 整数 全球的
Ndb_api_table_scan_count 整数 全球的
Ndb_api_table_scan_count_replica 整数 全球的
Ndb_api_table_scan_count_session 整数 会议
Ndb_api_table_scan_count_slave 整数 全球的
Ndb_api_trans_abort_count 整数 全球的
Ndb_api_trans_abort_count_replica 整数 全球的
Ndb_api_trans_abort_count_session 整数 会议
Ndb_api_trans_abort_count_slave 整数 全球的
Ndb_api_trans_close_count 整数 全球的
Ndb_api_trans_close_count_replica 整数 全球的
Ndb_api_trans_close_count_session 整数 会议
Ndb_api_trans_close_count_slave 整数 全球的
Ndb_api_trans_commit_count 整数 全球的
Ndb_api_trans_commit_count_replica 整数 全球的
Ndb_api_trans_commit_count_session 整数 会议
Ndb_api_trans_commit_count_slave 整数 全球的
Ndb_api_trans_local_read_row_count 整数 全球的
Ndb_api_trans_local_read_row_count_replica 整数 全球的
Ndb_api_trans_local_read_row_count_session 整数 会议
Ndb_api_trans_local_read_row_count_slave 整数 全球的
Ndb_api_trans_start_count 整数 全球的
Ndb_api_trans_start_count_replica 整数 全球的
Ndb_api_trans_start_count_session 整数 会议
Ndb_api_trans_start_count_slave 整数 全球的
Ndb_api_uk_op_count 整数 全球的
Ndb_api_uk_op_count_replica 整数 全球的
Ndb_api_uk_op_count_session 整数 会议
Ndb_api_uk_op_count_slave 整数 全球的
Ndb_api_wait_exec_complete_count 整数 全球的
Ndb_api_wait_exec_complete_count_replica 整数 全球的
Ndb_api_wait_exec_complete_count_session 整数 会议
Ndb_api_wait_exec_complete_count_slave 整数 全球的
Ndb_api_wait_meta_request_count 整数 全球的
Ndb_api_wait_meta_request_count_replica 整数 全球的
Ndb_api_wait_meta_request_count_session 整数 会议
Ndb_api_wait_meta_request_count_slave 整数 全球的
Ndb_api_wait_nanos_count 整数 全球的
Ndb_api_wait_nanos_count_replica 整数 全球的
Ndb_api_wait_nanos_count_session 整数 会议
Ndb_api_wait_nanos_count_slave 整数 全球的
Ndb_api_wait_scan_result_count 整数 全球的
Ndb_api_wait_scan_result_count_replica 整数 全球的
Ndb_api_wait_scan_result_count_session 整数 会议
Ndb_api_wait_scan_result_count_slave 整数 全球的
Ndb_cluster_node_id 整数 全球的
Ndb_config_from_host 整数 两个都
Ndb_config_from_port 整数 两个都
Ndb_config_generation 整数 全球的
Ndb_conflict_fn_epoch 整数 全球的
Ndb_conflict_fn_epoch_trans 整数 全球的
Ndb_conflict_fn_epoch2 整数 全球的
Ndb_conflict_fn_epoch2_trans 整数 全球的
Ndb_conflict_fn_max 整数 全球的
Ndb_conflict_fn_max_del_win 整数 全球的
Ndb_conflict_fn_max_del_win_ins 整数 全球的
Ndb_conflict_fn_max_ins 整数 全球的
Ndb_conflict_fn_old 整数 全球的
Ndb_conflict_last_conflict_epoch 整数 全球的
Ndb_conflict_last_stable_epoch 整数 全球的
Ndb_conflict_reflected_op_discard_count 整数 全球的
Ndb_conflict_reflected_op_prepare_count 整数 全球的
Ndb_conflict_refresh_op_count 整数 全球的
Ndb_conflict_trans_conflict_commit_count 整数 全球的
Ndb_conflict_trans_detect_iter_count 整数 全球的
Ndb_conflict_trans_reject_count 整数 全球的
Ndb_conflict_trans_row_conflict_count 整数 全球的
Ndb_conflict_trans_row_reject_count 整数 全球的
Ndb_epoch_delete_delete_count 整数 全球的
Ndb_execute_count 整数 全球的
Ndb_last_commit_epoch_server 整数 全球的
Ndb_last_commit_epoch_session 整数 会议
Ndb_metadata_blacklist_size 整数 全球的
Ndb_metadata_detected_count 整数 全球的
Ndb_metadata_excluded_count 整数 全球的
Ndb_metadata_synced_count 整数 全球的
Ndb_cluster_node_id 整数 全球的
Ndb_number_of_data_nodes 整数 全球的
Ndb_pruned_scan_count 整数 全球的
Ndb_pushed_queries_defined 整数 全球的
Ndb_pushed_queries_dropped 整数 全球的
Ndb_pushed_queries_executed 整数 全球的
Ndb_pushed_reads 整数 全球的
Ndb_scan_count 整数 全球的
Ndb_slave_max_replicated_epoch 整数 全球的
Ndb_trans_hint_count_session 整数 两个都
Not_flushed_delayed_rows 整数 全球的
正在进行的_匿名_gtid_violating_transaction_count 整数 全球的
正在进行的_匿名_transaction_count 整数 全球的
Ongoing_automatic_gtid_violating_transaction_count 整数 全球的
打开文件 整数 全球的
打开流 整数 全球的
Open_table_definitions 整数 全球的
打开_tables 整数 两个都
打开的文件 整数 全球的
Opened_table_definitions 整数 两个都
打开_tables 整数 两个都
Performance_schema_accounts_lost 整数 全球的
Performance_schema_cond_classes_lost 整数 全球的
Performance_schema_cond_instances_lost 整数 全球的
Performance_schema_digest_lost 整数 全球的
Performance_schema_file_classes_lost 整数 全球的
Performance_schema_file_handles_lost 整数 全球的
Performance_schema_file_instances_lost 整数 全球的
Performance_schema_hosts_lost 整数 全球的
Performance_schema_index_stat_lost 整数 全球的
Performance_schema_locker_lost 整数 全球的
Performance_schema_memory_classes_lost 整数 全球的
Performance_schema_metadata_lock_lost 整数 全球的
Performance_schema_mutex_classes_lost 整数 全球的
Performance_schema_mutex_instances_lost 整数 全球的
Performance_schema_nested_statement_lost 整数 全球的
Performance_schema_prepared_statements_lost 整数 全球的
Performance_schema_program_lost 整数 全球的
Performance_schema_rwlock_classes_lost 整数 全球的
Performance_schema_rwlock_instances_lost 整数 全球的
Performance_schema_session_connect_attrs_longest_seen 整数 全球的
Performance_schema_session_connect_attrs_lost 整数 全球的
Performance_schema_socket_classes_lost 整数 全球的
Performance_schema_socket_instances_lost 整数 全球的
Performance_schema_stage_classes_lost 整数 全球的
Performance_schema_statement_classes_lost 整数 全球的
Performance_schema_table_handles_lost 整数 全球的
Performance_schema_table_instances_lost 整数 全球的
Performance_schema_table_lock_stat_lost 整数 全球的
Performance_schema_thread_classes_lost 整数 全球的
Performance_schema_thread_instances_lost 整数 全球的
Performance_schema_users_lost 整数 全球的
Prepared_stmt_count 整数 全球的
查询 整数 两个都
问题 整数 两个都
Replica_open_temp_tables 整数 全球的
Replica_rows_last_search_algorithm_used 细绳 全球的
Resource_group_supported 布尔值 全球的
Rewriter_number_loaded_rules 整数 全球的
重写器_number_reloads 整数 全球的
Rewriter_number_rewritten_queries 整数 全球的
Rewriter_reload_error 布尔值 全球的
Rpl_semi_sync_master_clients 整数 全球的
Rpl_semi_sync_master_net_avg_wait_time 整数 全球的
Rpl_semi_sync_master_net_wait_time 整数 全球的
Rpl_semi_sync_master_net_waits 整数 全球的
Rpl_semi_sync_master_no_times 整数 全球的
Rpl_semi_sync_master_no_tx 整数 全球的
Rpl_semi_sync_master_status 布尔值 全球的
Rpl_semi_sync_master_timefunc_failures 整数 全球的
Rpl_semi_sync_master_tx_avg_wait_time 整数 全球的
Rpl_semi_sync_master_tx_wait_time 整数 全球的
Rpl_semi_sync_master_tx_waits 整数 全球的
Rpl_semi_sync_master_wait_pos_backtraverse 整数 全球的
Rpl_semi_sync_master_wait_sessions 整数 全球的
Rpl_semi_sync_master_yes_tx 整数 全球的
Rpl_semi_sync_replica_status 布尔值 全球的
Rpl_semi_sync_slave_status 布尔值 全球的
Rpl_semi_sync_source_clients 整数 全球的
Rpl_semi_sync_source_net_avg_wait_time 整数 全球的
Rpl_semi_sync_source_net_wait_time 整数 全球的
Rpl_semi_sync_source_net_waits 整数 全球的
Rpl_semi_sync_source_no_times 整数 全球的
Rpl_semi_sync_source_no_tx 整数 全球的
Rpl_semi_sync_source_status 布尔值 全球的
Rpl_semi_sync_source_timefunc_failures 整数 全球的
Rpl_semi_sync_source_tx_avg_wait_time 整数 全球的
Rpl_semi_sync_source_tx_wait_time 整数 全球的
Rpl_semi_sync_source_tx_waits 整数 全球的
Rpl_semi_sync_source_wait_pos_backtraverse 整数 全球的
Rpl_semi_sync_source_wait_sessions 整数 全球的
Rpl_semi_sync_source_yes_tx 整数 全球的
Rsa_public_key 细绳 全球的
Secondary_engine_execution_count 整数 两个都
选择_full_join 整数 两个都
选择_full_range_join 整数 两个都
选择范围 整数 两个都
选择范围检查 整数 两个都
选择扫描 整数 两个都
Slave_open_temp_tables 整数 全球的
Slave_rows_last_search_algorithm_used 细绳 全球的
慢启动线程 整数 两个都
慢查询 整数 两个都
Sort_merge_passes 整数 两个都
排序范围 整数 两个都
排序行 整数 两个都
排序扫描 整数 两个都
ssl_accept_renegotiates 整数 全球的
SSL_accepts 整数 全球的
ssl_callback_cache_hits 整数 全球的
SSL密码 细绳 两个都
ssl_cipher_list 细绳 两个都
ssl_client_connects 整数 全球的
ssl_connect_renegotiates 整数 全球的
ssl_ctx_verify_depth 整数 全球的
ssl_ctx_verify_mode 整数 全球的
ssl_default_timeout 整数 两个都
SSL_finished_accepts 整数 全球的
ssl_finished_connects 整数 全球的
ssl_server_not_after 整数 两个都
ssl_server_not_before 整数 两个都
ssl_session_cache_hits 整数 全球的
ssl_session_cache_misses 整数 全球的
ssl_session_cache_mode 细绳 全球的
ssl_session_cache_overflows 整数 全球的
ssl_session_cache_size 整数 全球的
ssl_session_cache_timeout 整数 全球的
ssl_session_cache_timeouts 整数 全球的
ssl_sessions_reused 整数 两个都
Ssl_used_session_cache_entries 整数 全球的
SSL_verify_depth 整数 两个都
ssl_verify_mode 整数 两个都
SSL_version 细绳 两个都
Table_locks_immediate 整数 全球的
Table_locks_waited 整数 全球的
Table_open_cache_hits 整数 两个都
Table_open_cache_misses 整数 两个都
Table_open_cache_overflows 整数 两个都
Tc_log_max_pages_used 整数 全球的
Tc_log_page_size 整数 全球的
Tc_log_page_waits 整数 全球的
线程缓存 整数 全球的
线程连接 整数 全球的
线程创建 整数 全球的
Threads_running 整数 全球的
Tls_library_version 细绳 全球的
正常运行时间 整数 全球的
Uptime_since_flush_status 整数 全球的
validate_password_dictionary_file_last_parsed 约会时间 全球的
validate_password_dictionary_file_words_count 整数 全球的
validate_password.dictionary_file_last_parsed 约会时间 全球的
validate_password.dictionary_file_words_count 整数 全球的
