5.1.5 服务器系统变量引用_MySQL 8.0 参考手册 Skip to Main Content
Documentation Home
MySQL 8.0 参考手册
MySQL 8.0 参考手册 / 第 5 章 MySQL 服务器管理 / 5.1 MySQL 服务器 / 
5.1.5 服务器系统变量引用
5.1.5 服务器系统变量引用
下表列出了适用于 mysqld .
该表在一个统一列表中列出命令行选项 (Cmd-line)、配置文件中有效的选项 (Option file)、服务器系统变量 (System Var) 和状态变量 (Status var)，并指示每个选项的位置或变量有效。如果在命令行或选项文件中设置的服务器选项与相应系统变量的名称不同，则会在相应选项的正下方注明变量名称。变量的范围 (Var Scope) 是 Global、Session 或两者兼而有之。设置和使用变量的详细信息请参见相应的项目说明。在适当的情况下，提供了指向有关这些项目的更多信息的直接链接。
表 5.2 系统变量汇总
姓名 命令行 选项文件 系统变量 可变范围 动态的
authentication_ldap_sasl_server_host 是的 是的 是的 全球的 是的
authentication_ldap_sasl_server_port 是的 是的 是的 全球的 是的
authentication_ldap_sasl_tls 是的 是的 是的 全球的 是的
authentication_ldap_sasl_user_search_attr 是的 是的 是的 全球的 是的
authentication_ldap_simple_auth_method_name 是的 是的 是的 全球的 是的
authentication_ldap_simple_bind_base_dn 是的 是的 是的 全球的 是的
authentication_ldap_simple_bind_root_dn 是的 是的 是的 全球的 是的
authentication_ldap_simple_bind_root_pwd 是的 是的 是的 全球的 是的
authentication_ldap_simple_ca_path 是的 是的 是的 全球的 是的
authentication_ldap_simple_group_search_attr 是的 是的 是的 全球的 是的
authentication_ldap_simple_group_search_filter 是的 是的 是的 全球的 是的
authentication_ldap_simple_init_pool_size 是的 是的 是的 全球的 是的
authentication_ldap_simple_log_status 是的 是的 是的 全球的 是的
authentication_ldap_simple_max_pool_size 是的 是的 是的 全球的 是的
authentication_ldap_simple_referral 是的 是的 是的 全球的 是的
authentication_ldap_simple_server_host 是的 是的 是的 全球的 是的
authentication_ldap_simple_server_port 是的 是的 是的 全球的 是的
authentication_ldap_simple_tls 是的 是的 是的 全球的 是的
authentication_ldap_simple_user_search_attr 是的 是的 是的 全球的 是的
身份验证策略 是的 是的 是的 全球的 是的
authentication_windows_log_level 是的 是的 是的 全球的 不
authentication_windows_use_principal_name 是的 是的 是的 全球的 不
自动生成证书 是的 是的 是的 全球的 不
自动增量增量 是的 是的 是的 两个都 是的
auto_increment_offset 是的 是的 是的 两个都 是的
自动提交 是的 是的 是的 两个都 是的
automatic_sp_privileges 是的 是的 是的 全球的 是的
avoid_temporal_upgrade 是的 是的 是的 全球的 是的
积压日志 是的 是的 是的 全球的 不
基于目录 是的 是的 是的 全球的 不
大表 是的 是的 是的 两个都 是的
绑定地址 是的 是的 是的 全球的 不
binlog_cache_size 是的 是的 是的 全球的 是的
binlog_checksum 是的 是的 是的 全球的 是的
binlog_direct_non_transactional_updates 是的 是的 是的 两个都 是的
二进制日志加密 是的 是的 是的 全球的 是的
binlog_error_action 是的 是的 是的 全球的 是的
binlog_expire_logs_auto_purge 是的 是的 是的 全球的 是的
binlog_expire_logs_seconds 是的 是的 是的 全球的 是的
二进制日志格式 是的 是的 是的 两个都 是的
binlog_group_commit_sync_delay 是的 是的 是的 全球的 是的
binlog_group_commit_sync_no_delay_count 是的 是的 是的 全球的 是的
binlog_gtid_simple_recovery 是的 是的 是的 全球的 不
binlog_max_flush_queue_time 是的 是的 是的 全球的 是的
binlog_order_commits 是的 是的 是的 全球的 是的
binlog_rotate_encryption_master_key_at_startup 是的 是的 是的 全球的 不
binlog_row_event_max_size 是的 是的 是的 全球的 不
binlog_row_image 是的 是的 是的 两个都 是的
binlog_row_metadata 是的 是的 是的 全球的 是的
binlog_row_value_options 是的 是的 是的 两个都 是的
binlog_rows_query_log_events 是的 是的 是的 两个都 是的
binlog_stmt_cache_size 是的 是的 是的 全球的 是的
binlog_transaction_compression 是的 是的 是的 两个都 是的
binlog_transaction_compression_level_zstd 是的 是的 是的 两个都 是的
binlog_transaction_dependency_history_size 是的 是的 是的 全球的 是的
binlog_transaction_dependency_tracking 是的 是的 是的 全球的 是的
块加密模式 是的 是的 是的 两个都 是的
build_id 是的 全球的 不
bulk_insert_buffer_size 是的 是的 是的 两个都 是的
caching_sha2_password_auto_generate_rsa_keys 是的 是的 是的 全球的 不
caching_sha2_password_digest_rounds 是的 是的 是的 全球的 不
caching_sha2_password_private_key_path 是的 是的 是的 全球的 不
caching_sha2_password_public_key_path 是的 是的 是的 全球的 不
字符集客户端 是的 两个都 是的
字符集连接 是的 两个都 是的
字符集数据库 （注 1） 是的 两个都 是的
字符集文件系统 是的 是的 是的 两个都 是的
字符集结果 是的 两个都 是的
字符集服务器 是的 是的 是的 两个都 是的
字符集系统 是的 全球的 不
字符集目录 是的 是的 是的 全球的 不
检查代理用户 是的 是的 是的 全球的 是的
clone_autotune_concurrency 是的 是的 是的 全球的 是的
clone_block_ddl 是的 是的 是的 全球的 是的
克隆缓冲区大小 是的 是的 是的 全球的 是的
clone_ddl_timeout 是的 是的 是的 全球的 是的
clone_delay_after_data_drop 是的 是的 是的 全球的 是的
clone_donor_timeout_after_network_failure 是的 是的 是的 全球的 是的
克隆启用压缩 是的 是的 是的 全球的 是的
clone_max_concurrency 是的 是的 是的 全球的 是的
克隆最大数据带宽 是的 是的 是的 全球的 是的
克隆最大网络带宽 是的 是的 是的 全球的 是的
clone_ssl_ca 是的 是的 是的 全球的 是的
克隆证书 是的 是的 是的 全球的 是的
clone_ssl_key 是的 是的 是的 全球的 是的
clone_valid_donor_list 是的 是的 是的 全球的 是的
排序规则连接 是的 两个都 是的
collat​​ion_database （注释 1） 是的 两个都 是的
整理服务器 是的 是的 是的 两个都 是的
完成类型 是的 是的 是的 两个都 是的
并发插入 是的 是的 是的 全球的 是的
连接超时 是的 是的 是的 全球的 是的
connection_control_failed_connections_threshold 是的 是的 是的 全球的 是的
connection_control_max_connection_delay 是的 是的 是的 全球的 是的
connection_control_min_connection_delay 是的 是的 是的 全球的 是的
连接内存块大小 是的 是的 是的 两个都 是的
连接内存限制 是的 是的 是的 两个都 是的
核心文件 是的 全球的 不
创建_admin_listener_thread 是的 是的 是的 全球的 不
cte_max_recursion_depth 是的 是的 是的 两个都 是的
daemon_memcached_enable_binlog 是的 是的 是的 全球的 不
daemon_memcached_engine_lib_name 是的 是的 是的 全球的 不
daemon_memcached_engine_lib_path 是的 是的 是的 全球的 不
daemon_memcached_option 是的 是的 是的 全球的 不
daemon_memcached_r_batch_size 是的 是的 是的 全球的 不
daemon_memcached_w_batch_size 是的 是的 是的 全球的 不
数据目录 是的 是的 是的 全球的 不
调试 是的 是的 是的 两个都 是的
调试同步 是的 会议 是的
默认身份验证插件 是的 是的 是的 全球的 不
default_collat​​ion_for_utf8mb4 是的 两个都 是的
default_password_lifetime 是的 是的 是的 全球的 是的
默认存储引擎 是的 是的 是的 两个都 是的
默认表加密 是的 是的 是的 两个都 是的
default_tmp_storage_engine 是的 是的 是的 两个都 是的
默认周格式 是的 是的 是的 两个都 是的
延迟_密钥_写入 是的 是的 是的 全球的 是的
延迟插入限制 是的 是的 是的 全球的 是的
延迟插入超时 是的 是的 是的 全球的 是的
delayed_queue_size 是的 是的 是的 全球的 是的
disabled_storage_engines 是的 是的 是的 全球的 不
disconnect_on_expired_pa​​ssword 是的 是的 是的 全球的 不
div_precision_increment 是的 是的 是的 两个都 是的
dragnet.log_error_filter_rules 是的 是的 是的 全球的 是的
end_markers_in_json 是的 是的 是的 两个都 是的
enforce_gtid_consistency 是的 是的 是的 全球的 是的
enterprise_encryption.maximum_rsa_key_size 是的 是的 是的 全球的 是的
enterprise_encryption.rsa_support_legacy_padding 是的 是的 是的 全球的 是的
eq_range_index_dive_limit 是的 是的 是的 两个都 是的
错误计数 是的 会议 不
事件调度器 是的 是的 是的 全球的 是的
expire_logs_days 是的 是的 是的 全球的 是的
explicit_defaults_for_timestamp 是的 是的 是的 两个都 是的
外部用户 是的 会议 不
齐平 是的 是的 是的 全球的 是的
冲洗时间 是的 是的 是的 全球的 是的
foreign_key_checks 是的 两个都 是的
ft_boolean_syntax 是的 是的 是的 全球的 是的
ft_max_word_len 是的 是的 是的 全球的 不
ft_min_word_len 是的 是的 是的 全球的 不
ft_query_expansion_limit 是的 是的 是的 全球的 不
ft_stopword_file 是的 是的 是的 全球的 不
一般日志 是的 是的 是的 全球的 是的
一般日志文件 是的 是的 是的 全球的 是的
generated_random_password_length 是的 是的 是的 两个都 是的
全局连接内存限制 是的 是的 是的 全球的 是的
global_connection_memory_tracking 是的 是的 是的 两个都 是的
group_concat_max_len 是的 是的 是的 两个都 是的
group_replication_advertise_recovery_endpoints 是的 是的 是的 全球的 是的
group_replication_allow_local_lower_version_join 是的 是的 是的 全球的 是的
group_replication_auto_increment_increment 是的 是的 是的 全球的 是的
group_replication_autorejoin_tries 是的 是的 是的 全球的 是的
group_replication_bootstrap_group 是的 是的 是的 全球的 是的
group_replication_clone_threshold 是的 是的 是的 全球的 是的
group_replication_communication_debug_options 是的 是的 是的 全球的 是的
group_replication_communication_max_message_size 是的 是的 是的 全球的 是的
group_replication_communication_stack 是的 全球的 不
group_replication_components_stop_timeout 是的 是的 是的 全球的 是的
group_replication_compression_threshold 是的 是的 是的 全球的 是的
group_replication_consistency 是的 是的 是的 两个都 是的
group_replication_enforce_update_everywhere_checks 是的 是的 是的 全球的 是的
group_replication_exit_state_action 是的 是的 是的 全球的 是的
group_replication_flow_control_applier_threshold 是的 是的 是的 全球的 是的
group_replication_flow_control_certifier_threshold 是的 是的 是的 全球的 是的
group_replication_flow_control_hold_percent 是的 是的 是的 全球的 是的
group_replication_flow_control_max_commit_quota 是的 是的 是的 全球的 是的
group_replication_flow_control_member_quota_percent 是的 是的 是的 全球的 是的
group_replication_flow_control_min_quota 是的 是的 是的 全球的 是的
group_replication_flow_control_min_recovery_quota 是的 是的 是的 全球的 是的
group_replication_flow_control_mode 是的 是的 是的 全球的 是的
group_replication_flow_control_period 是的 是的 是的 全球的 是的
group_replication_flow_control_release_percent 是的 是的 是的 全球的 是的
group_replication_force_members 是的 是的 是的 全球的 是的
group_replication_group_name 是的 是的 是的 全球的 是的
group_replication_group_seeds 是的 是的 是的 全球的 是的
group_replication_gtid_assignment_block_size 是的 是的 是的 全球的 是的
group_replication_ip_allowlist 是的 是的 是的 全球的 是的
group_replication_ip_whitelist 是的 是的 是的 全球的 是的
group_replication_local_address 是的 是的 是的 全球的 是的
group_replication_member_expel_timeout 是的 是的 是的 全球的 是的
group_replication_member_weight 是的 是的 是的 全球的 是的
group_replication_message_cache_size 是的 是的 是的 全球的 是的
group_replication_paxos_single_leader 是的 是的 是的 全球的 是的
group_replication_poll_spin_loops 是的 是的 是的 全球的 是的
group_replication_recovery_complete_at 是的 是的 是的 全球的 是的
group_replication_recovery_compression_algorithms 是的 是的 是的 全球的 是的
group_replication_recovery_get_public_key 是的 是的 是的 全球的 是的
group_replication_recovery_public_key_path 是的 是的 是的 全球的 是的
group_replication_recovery_reconnect_interval 是的 是的 是的 全球的 是的
group_replication_recovery_retry_count 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_ca 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_capath 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_cert 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_cipher 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_crl 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_crlpath 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_key 是的 是的 是的 全球的 是的
group_replication_recovery_ssl_verify_server_cert 是的 是的 是的 全球的 是的
group_replication_recovery_tls_ciphersuites 是的 是的 是的 全球的 是的
group_replication_recovery_tls_version 是的 是的 是的 全球的 是的
group_replication_recovery_use_ssl 是的 是的 是的 全球的 是的
group_replication_recovery_zstd_compression_level 是的 是的 是的 全球的 是的
group_replication_single_primary_mode 是的 是的 是的 全球的 是的
group_replication_ssl_mode 是的 是的 是的 全球的 是的
group_replication_start_on_boot 是的 是的 是的 全球的 是的
group_replication_tls_source 是的 是的 是的 全球的 是的
group_replication_transaction_size_limit 是的 是的 是的 全球的 是的
group_replication_unreachable_majority_timeout 是的 是的 是的 全球的 是的
group_replication_view_change_uuid 是的 是的 是的 全球的 是的
gtid_executed 是的 全球的 不
gtid_executed_compression_period 是的 是的 是的 全球的 是的
gtid_mode 是的 是的 是的 全球的 是的
gtid_next 是的 会议 是的
gtid_owned 是的 两个都 不
gtid_purged 是的 全球的 是的
压缩 是的 全球的 不
have_dynamic_loading 是的 全球的 不
有_几何 是的 全球的 不
有_openssl 是的 全球的 不
有_profiling 是的 全球的 不
有查询缓存 是的 全球的 不
有_rtree_keys 是的 全球的 不
有_ssl 是的 全球的 不
have_statement_timeout 是的 全球的 不
有符号链接 是的 全球的 不
histogram_generation_max_mem_size 是的 是的 是的 两个都 是的
主机缓存大小 是的 是的 是的 全球的 是的
主机名 是的 全球的 不
身份 是的 会议 是的
立即服务器版本 是的 会议 是的
information_schema_stats_expiry 是的 是的 是的 两个都 是的
初始化连接 是的 是的 是的 全球的 是的
初始化文件 是的 是的 是的 全球的 不
初始副本 是的 是的 是的 全球的 是的
init_slave 是的 是的 是的 全球的 是的
innodb_adaptive_flushing 是的 是的 是的 全球的 是的
innodb_adaptive_flushing_lwm 是的 是的 是的 全球的 是的
innodb_adaptive_hash_index 是的 是的 是的 全球的 是的
innodb_adaptive_hash_index_parts 是的 是的 是的 全球的 不
innodb_adaptive_max_sleep_delay 是的 是的 是的 全球的 是的
innodb_api_bk_commit_interval 是的 是的 是的 全球的 是的
innodb_api_disable_rowlock 是的 是的 是的 全球的 不
innodb_api_enable_binlog 是的 是的 是的 全球的 不
innodb_api_enable_mdl 是的 是的 是的 全球的 不
innodb_api_trx_level 是的 是的 是的 全球的 是的
innodb_autoextend_increment 是的 是的 是的 全球的 是的
innodb_autoinc_lock_mode 是的 是的 是的 全球的 不
innodb_background_drop_list_empty 是的 是的 是的 全球的 是的
innodb_buffer_pool_chunk_size 是的 是的 是的 全球的 不
innodb_buffer_pool_debug 是的 是的 是的 全球的 不
innodb_buffer_pool_dump_at_shutdown 是的 是的 是的 全球的 是的
innodb_buffer_pool_dump_now 是的 是的 是的 全球的 是的
innodb_buffer_pool_dump_pct 是的 是的 是的 全球的 是的
innodb_buffer_pool_filename 是的 是的 是的 全球的 是的
innodb_buffer_pool_in_core_file 是的 是的 是的 全球的 是的
innodb_buffer_pool_instances 是的 是的 是的 全球的 不
innodb_buffer_pool_load_abort 是的 是的 是的 全球的 是的
innodb_buffer_pool_load_at_startup 是的 是的 是的 全球的 不
innodb_buffer_pool_load_now 是的 是的 是的 全球的 是的
innodb_buffer_pool_size 是的 是的 是的 全球的 是的
innodb_change_buffer_max_size 是的 是的 是的 全球的 是的
innodb_change_buffering 是的 是的 是的 全球的 是的
innodb_change_buffering_debug 是的 是的 是的 全球的 是的
innodb_checkpoint_disabled 是的 是的 是的 全球的 是的
innodb_checksum_algorithm 是的 是的 是的 全球的 是的
innodb_cmp_per_index_enabled 是的 是的 是的 全球的 是的
innodb_commit_concurrency 是的 是的 是的 全球的 是的
innodb_compress_debug 是的 是的 是的 全球的 是的
innodb_compression_failure_threshold_pct 是的 是的 是的 全球的 是的
innodb_compression_level 是的 是的 是的 全球的 是的
innodb_compression_pad_pct_max 是的 是的 是的 全球的 是的
innodb_concurrency_tickets 是的 是的 是的 全球的 是的
innodb_data_file_path 是的 是的 是的 全球的 不
innodb_data_home_dir 是的 是的 是的 全球的 不
innodb_ddl_buffer_size 是的 是的 是的 两个都 是的
innodb_ddl_log_crash_reset_debug 是的 是的 是的 全球的 是的
innodb_ddl_threads 是的 是的 是的 两个都 是的
innodb_deadlock_detect 是的 是的 是的 全球的 是的
innodb_dedicated_server 是的 是的 是的 全球的 不
innodb_default_row_format 是的 是的 是的 全球的 是的
innodb_directories 是的 是的 是的 全球的 不
innodb_disable_sort_file_cache 是的 是的 是的 全球的 是的
innodb_doublewrite 是的 是的 是的 全球的 变化
innodb_doublewrite_batch_size 是的 是的 是的 全球的 不
innodb_doublewrite_dir 是的 是的 是的 全球的 不
innodb_doublewrite_files 是的 是的 是的 全球的 不
innodb_doublewrite_pages 是的 是的 是的 全球的 不
innodb_extend_and_initialize 是的 是的 是的 全球的 是的
innodb_fast_shutdown 是的 是的 是的 全球的 是的
innodb_fil_make_page_dirty_debug 是的 是的 是的 全球的 是的
innodb_file_per_table 是的 是的 是的 全球的 是的
innodb_fill_factor 是的 是的 是的 全球的 是的
innodb_flush_log_at_timeout 是的 是的 是的 全球的 是的
innodb_flush_log_at_trx_commit 是的 是的 是的 全球的 是的
innodb_flush_method 是的 是的 是的 全球的 不
innodb_flush_neighbors 是的 是的 是的 全球的 是的
innodb_flush_sync 是的 是的 是的 全球的 是的
innodb_flushing_avg_loops 是的 是的 是的 全球的 是的
innodb_force_load_corrupted 是的 是的 是的 全球的 不
innodb_force_recovery 是的 是的 是的 全球的 不
innodb_fsync_threshold 是的 是的 是的 全球的 是的
innodb_ft_aux_table 是的 全球的 是的
innodb_ft_cache_size 是的 是的 是的 全球的 不
innodb_ft_enable_diag_print 是的 是的 是的 全球的 是的
innodb_ft_enable_stopword 是的 是的 是的 两个都 是的
innodb_ft_max_token_size 是的 是的 是的 全球的 不
innodb_ft_min_token_size 是的 是的 是的 全球的 不
innodb_ft_num_word_optimize 是的 是的 是的 全球的 是的
innodb_ft_result_cache_limit 是的 是的 是的 全球的 是的
innodb_ft_server_stopword_table 是的 是的 是的 全球的 是的
innodb_ft_sort_pll_degree 是的 是的 是的 全球的 不
innodb_ft_total_cache_size 是的 是的 是的 全球的 不
innodb_ft_user_stopword_table 是的 是的 是的 两个都 是的
innodb_idle_flush_pct 是的 是的 是的 全球的 是的
innodb_io_capacity 是的 是的 是的 全球的 是的
innodb_io_capacity_max 是的 是的 是的 全球的 是的
innodb_limit_optimistic_insert_debug 是的 是的 是的 全球的 是的
innodb_lock_wait_timeout 是的 是的 是的 两个都 是的
innodb_log_buffer_size 是的 是的 是的 全球的 变化
innodb_log_checkpoint_fuzzy_now 是的 是的 是的 全球的 是的
innodb_log_checkpoint_now 是的 是的 是的 全球的 是的
innodb_log_checksums 是的 是的 是的 全球的 是的
innodb_log_compressed_pa​​ges 是的 是的 是的 全球的 是的
innodb_log_file_size 是的 是的 是的 全球的 不
innodb_log_files_in_group 是的 是的 是的 全球的 不
innodb_log_group_home_dir 是的 是的 是的 全球的 不
innodb_log_spin_cpu_abs_lwm 是的 是的 是的 全球的 是的
innodb_log_spin_cpu_pct_hwm 是的 是的 是的 全球的 是的
innodb_log_wait_for_flush_spin_hwm 是的 是的 是的 全球的 是的
innodb_log_write_ahead_size 是的 是的 是的 全球的 是的
innodb_log_writer_threads 是的 是的 是的 全球的 是的
innodb_lru_scan_depth 是的 是的 是的 全球的 是的
innodb_max_dirty_pages_pct 是的 是的 是的 全球的 是的
innodb_max_dirty_pages_pct_lwm 是的 是的 是的 全球的 是的
innodb_max_purge_lag 是的 是的 是的 全球的 是的
innodb_max_purge_lag_delay 是的 是的 是的 全球的 是的
innodb_max_undo_log_size 是的 是的 是的 全球的 是的
innodb_merge_threshold_set_all_debug 是的 是的 是的 全球的 是的
innodb_monitor_disable 是的 是的 是的 全球的 是的
innodb_monitor_enable 是的 是的 是的 全球的 是的
innodb_monitor_reset 是的 是的 是的 全球的 是的
innodb_monitor_reset_all 是的 是的 是的 全球的 是的
innodb_numa_interleave 是的 是的 是的 全球的 不
innodb_old_blocks_pct 是的 是的 是的 全球的 是的
innodb_old_blocks_time 是的 是的 是的 全球的 是的
innodb_online_alter_log_max_size 是的 是的 是的 全球的 是的
innodb_open_files 是的 是的 是的 全球的 变化
innodb_optimize_fulltext_only 是的 是的 是的 全球的 是的
innodb_page_cleaners 是的 是的 是的 全球的 不
innodb_page_size 是的 是的 是的 全球的 不
innodb_parallel_read_threads 是的 是的 是的 会议 是的
innodb_print_all_deadlocks 是的 是的 是的 全球的 是的
innodb_print_ddl_logs 是的 是的 是的 全球的 是的
innodb_purge_batch_size 是的 是的 是的 全球的 是的
innodb_purge_rseg_truncate_frequency 是的 是的 是的 全球的 是的
innodb_purge_threads 是的 是的 是的 全球的 不
innodb_random_read_ahead 是的 是的 是的 全球的 是的
innodb_read_ahead_threshold 是的 是的 是的 全球的 是的
innodb_read_io_threads 是的 是的 是的 全球的 不
innodb_read_only 是的 是的 是的 全球的 不
innodb_redo_log_archive_dirs 是的 是的 是的 全球的 是的
innodb_redo_log_capacity 是的 是的 是的 全球的 是的
innodb_redo_log_encrypt 是的 是的 是的 全球的 是的
innodb_replication_delay 是的 是的 是的 全球的 是的
innodb_rollback_on_timeout 是的 是的 是的 全球的 不
innodb_rollback_segments 是的 是的 是的 全球的 是的
innodb_saved_pa​​ge_number_debug 是的 是的 是的 全球的 是的
innodb_segment_reserve_factor 是的 是的 是的 全球的 是的
innodb_sort_buffer_size 是的 是的 是的 全球的 不
innodb_spin_wait_delay 是的 是的 是的 全球的 是的
innodb_spin_wait_pause_multiplier 是的 是的 是的 全球的 是的
innodb_stats_auto_recalc 是的 是的 是的 全球的 是的
innodb_stats_include_delete_marked 是的 是的 是的 全球的 是的
innodb_stats_method 是的 是的 是的 全球的 是的
innodb_stats_on_metadata 是的 是的 是的 全球的 是的
innodb_stats_persistent 是的 是的 是的 全球的 是的
innodb_stats_persistent_sample_pages 是的 是的 是的 全球的 是的
innodb_stats_transient_sample_pages 是的 是的 是的 全球的 是的
innodb_status_output 是的 是的 是的 全球的 是的
innodb_status_output_locks 是的 是的 是的 全球的 是的
innodb_strict_mode 是的 是的 是的 两个都 是的
innodb_sync_array_size 是的 是的 是的 全球的 不
innodb_sync_debug 是的 是的 是的 全球的 不
innodb_sync_spin_loops 是的 是的 是的 全球的 是的
innodb_table_locks 是的 是的 是的 两个都 是的
innodb_temp_data_file_path 是的 是的 是的 全球的 不
innodb_temp_tablespaces_dir 是的 是的 是的 全球的 不
innodb_thread_concurrency 是的 是的 是的 全球的 是的
innodb_thread_sleep_delay 是的 是的 是的 全球的 是的
innodb_tmpdir 是的 是的 是的 两个都 是的
innodb_trx_purge_view_update_only_debug 是的 是的 是的 全球的 是的
innodb_trx_rseg_n_slots_debug 是的 是的 是的 全球的 是的
innodb_undo_directory 是的 是的 是的 全球的 不
innodb_undo_log_encrypt 是的 是的 是的 全球的 是的
innodb_undo_log_truncate 是的 是的 是的 全球的 是的
innodb_undo_tablespaces 是的 是的 是的 全球的 变化
innodb_use_fdatasync 是的 是的 是的 全球的 是的
innodb_use_native_aio 是的 是的 是的 全球的 不
innodb_validate_tablespace_paths 是的 是的 是的 全球的 不
innodb_version 是的 全球的 不
innodb_write_io_threads 是的 是的 是的 全球的 不
insert_id 是的 会议 是的
交互超时 是的 是的 是的 两个都 是的
internal_tmp_disk_storage_engine 是的 是的 是的 全球的 是的
internal_tmp_mem_storage_engine 是的 是的 是的 两个都 是的
join_buffer_size 是的 是的 是的 两个都 是的
keep_files_on_create 是的 是的 是的 两个都 是的
key_buffer_size 是的 是的 是的 全球的 是的
key_cache_age_threshold 是的 是的 是的 全球的 是的
key_cache_block_size 是的 是的 是的 全球的 是的
key_cache_division_limit 是的 是的 是的 全球的 是的
keyring_aws_cmk_id 是的 是的 是的 全球的 是的
keyring_aws_conf_file 是的 是的 是的 全球的 不
keyring_aws_data_file 是的 是的 是的 全球的 不
keyring_aws_region 是的 是的 是的 全球的 是的
keyring_encrypted_file_data 是的 是的 是的 全球的 是的
keyring_encrypted_file_password 是的 是的 是的 全球的 是的
密钥环文件数据 是的 是的 是的 全球的 是的
keyring_hashicorp_auth_path 是的 是的 是的 全球的 是的
keyring_hashicorp_ca_path 是的 是的 是的 全球的 是的
keyring_hashicorp_caching 是的 是的 是的 全球的 是的
keyring_hashicorp_commit_auth_path 是的 全球的 不
keyring_hashicorp_commit_ca_path 是的 全球的 不
keyring_hashicorp_commit_caching 是的 全球的 不
keyring_hashicorp_commit_role_id 是的 全球的 不
keyring_hashicorp_commit_server_url 是的 全球的 不
keyring_hashicorp_commit_store_path 是的 全球的 不
keyring_hashicorp_role_id 是的 是的 是的 全球的 是的
keyring_hashicorp_secret_id 是的 是的 是的 全球的 是的
keyring_hashicorp_server_url 是的 是的 是的 全球的 是的
